Player (ITTF ID),Position,Previous Position,Points,Month,Year
FAN Zhendong (121404),1,1,14405,Jun,2019
LIN Gaoyuan (115910),2,2,14400,Jun,2019
XU Xin (110267),3,3,14160,Jun,2019
HARIMOTO Tomokazu (123980),4,4,13855,Jun,2019
MA Long (105649),5,5,13260,Jun,2019
BOLL Timo (101222),6,7,12715,Jun,2019
LIANG Jingkun (119588),7,6,12689,Jun,2019
ALDERANO Hugo (115641),8,8,12365,Jun,2019
FALCK Mattias (112074),9,11,11775,Jun,2019
JANG Woojin (114936),10,9,11309,Jun,2019
LEE Sangsu (105197),11,10,11050,Jun,2019
OVTCHAROV Dimitrij (107028),12,15,10813,Jun,2019
NIWA Koki (110729),13,12,10800,Jun,2019
MIZUTANI Jun (106195),14,13,10695,Jun,2019
PITCHFORD Liam (112442),15,14,10490,Jun,2019
FRANZISKA Patrick (102832),16,17,9705,Jun,2019
WONG Chun Ting (112620),17,18,9385,Jun,2019
SAMSONOV Vladimir (108246),18,20,9350,Jun,2019
JEOUNG Youngsik (104257),19,19,9153,Jun,2019
LIN Yun-Ju (121582),20,21,8798,Jun,2019
LIM Jonghoon (117357),21,16,8460,Jun,2019
GAUZY Simon (112062),22,27,8415,Jun,2019
ARUNA Quadri (112092),23,23,8328,Jun,2019
GNANASEKARAN Sathiyan (103126),24,24,8293,Jun,2019
OSHIMA Yuya (121752),25,22,7978,Jun,2019
UEDA Jin (110730),26,26,7718,Jun,2019
HUANG Chih-Yuan (101820),27,25,7658,Jun,2019
HABESOHN Daniel (103345),28,30,7338,Jun,2019
KARLSSON Kristian (104379),29,32,7075,Jun,2019
LEBESSON Emmanuel (105136),30,31,6985,Jun,2019
MORIZONO Masataka (112580),31,33,6978,Jun,2019
YOSHIMURA Maharu (117113),32,28,6909,Jun,2019
GROTH Jonathan (112409),33,34,6905,Jun,2019
FREITAS Marcos (102841),34,29,6783,Jun,2019
TSUBOI Gustavo (109581),35,37,6730,Jun,2019
HEN Chien-An (101648),36,38,6723,Jun,2019
JHA Kanak (116021),37,40,6675,Jun,2019
WALTHER Ricardo (109946),38,39,6539,Jun,2019
PUCAR Tomislav (116532),39,43,6500,Jun,2019
MATSUDAIRA Kenta (105926),40,44,6326,Jun,2019
ACHANTA Sharath Kamal (104314),41,46,6284,Jun,2019
LIU Dingshuo (121408),42,50,6234,Jun,2019
APOLONIA Tiago (100621),43,45,6099,Jun,2019
NUYTINCK Cedric (106814),44,51,6084,Jun,2019
JORGIC Darko (118927),45,41,6020,Jun,2019
DUDA Benedikt (116620),46,42,5985,Jun,2019
GERASSIMENKO Kirill (117890),47,49,5895,Jun,2019
ROBLES Alvaro (111050),48,52,5803,Jun,2019
YOSHIMURA Kazuhiro (123962),49,36,5734,Jun,2019
IONESCU Ovidiu (103903),50,47,5715,Jun,2019
